Lightcurve (raw) :   64675
Time (BJD)     Flux      Status
--------------------------------------
153.00897       -0.00071    1
153.02941        0.00011    1
153.04984        0.00020    1
153.07028        0.00038    1
153.09071        0.00082    1
153.11114        0.00068    1
153.13158        0.00034    1
153.15201        0.00016    1
153.17245       -0.00031    1
153.19288       -0.00046    1
153.21332       -0.00038    1
153.23375       -0.00016    1
153.25419       -0.00014    1
153.27462        0.00011    1
153.29505        0.00033    1
153.31549        0.00032    1
153.33592        0.00057    1
153.35636        0.00044    1
153.37679        0.00004    1
153.39723        0.00028    1
153.41766        0.00009    1
153.43809       -0.00009    1
153.45853       -0.00012    1
153.47896       -0.00042    1
153.49940       -0.00029    1
153.51983        0.00004    1
153.54027       -0.00010    1
153.56070       -0.00013    1
153.58113       -0.00009    1
153.60157       -0.00003    1
153.62200        0.00026    1
153.64244        0.00027    1
153.66287        0.00071    1
153.68331        0.00030    1
153.70374        0.00015    1
153.72417        0.00019    1
153.74461       -0.00021    1
153.76504       -0.00027    1
153.78548       -0.00058    1
153.80591       -0.00031    1
153.82635       -0.00023    1
153.84678       -0.00030    1
153.86721       -0.00004    1
153.88765       -0.00000    1
153.90808        0.00009    1
153.92852        0.00050    1
153.94895        0.00042    1
153.96939        0.00028    1
153.98982        0.00022    1
154.01026       -0.00005    1
154.03069       -0.00005    1
154.05112       -0.00019    1
154.07156       -0.00048    1
154.09199       -0.00023    1
154.11243       -0.00007    1
154.13286        0.00049    1
154.15330        0.00058    1
154.17373        0.00020    1
154.19416        0.00014    1
154.21460        0.00009    1
154.23503       -0.00013    1
